1571922409,0,6,0,"C6,C2;D5,DA;S7,S2;C9,CQ;D2,D3;S6,S4;D9,DK;CA,C4;D10,DJ;SJ,S5;C8,CJ;C3,C5;DQ,D7;CK,C10;C7,D8;D4,SA;D6,SK;S8,S10;S3,S9;H7,SQ;HA,H3;H6,HQ;H5,H4;H9,HJ;H2,H8;HK,H10"
1571922409,0,24,0,"CK,C2;C9,CA;D4,D2;S9,SK;SA,S2;CQ,CJ;D9,DQ;C7,C5;D3,DJ;SJ,S6;DA,D8;C4,C10;C3,C6;DK,D7;D6,C8;S8,S10;S5,S7;H7,H2;D10,HK;D5,HQ;S3,HJ;S4,H10;SQ,H8;H5,H6;H9,H3;HA,H4"
1571922409,0,19,0,"CQ,C2;DA,D2;S9,SK;C4,C3;S7,SJ;D5,D3;S10,S8;SA,SQ;C10,C9;DK,DQ;S3,S6;S2,S5;CJ,S4;D6,D4;CK,C8;CA,C5;C7,DJ;C6,D10;D9,D8;H3,HA;H2,D7;HQ,H4;H10,HK;H7,H6;H5,H9;HJ,H8"
1571922409,0,24,0,"CA,C2;D6,D2;S6,SJ;DA,D4;S8,S10;S5,S4;CJ,CK;D3,D5;C9,C6;S2,S9;D8,D7;C8,C10;DQ,D9;SK,SQ;C3,DK;CQ,DJ;S3,D10;C7,HQ;C5,HJ;SA,H10;S7,H8;C4,H7;HA,H6;H4,H5;H9,H2;HK,H3"
1571922409,0,24,0,"CK,C2;S8,S2;D2,DA;D5,D3;C4,C9;DK,D4;S7,SJ;S3,S4;CQ,C5;CA,C8;D10,DJ;S6,S5;D8,D9;CJ,C6;C3,D6;DQ,S10;D7,S9;SA,HA;C7,HK;C10,HQ;SK,HJ;SQ,H10;H9,H8;H7,H5;H3,H4;H6,H2"
1571922409,0,8,0,"C3,C2;D5,DA;D10,D2;D7,DK;DJ,D3;S4,SJ;CK,C4;SK,S10;S3,S8;SQ,D4;C9,C5;S2,S7;S9,S6;SA,DQ;C10,CQ;C6,D6;CA,C7;S5,D9;H4,HJ;H3,D8;H7,H2;H9,H10;HK,H5;HQ,H8;HA,CJ;H6,C8"
